=== b240m_p206k ===
budget_minutes  : 240
n_layer,n_embd  : 4, 64
n_params        : 206,400
max_iters       : 4816
flops_per_step  : 5,072,486,400
tokens_seen     : 19,726,336
started_at      : 2026-04-16 21:42:56

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.3718    3.3690   0.00300       1.2
   481    0.5801    0.5961   0.00293      44.9
   962    0.2768    0.2775   0.00272      89.7
  1443    0.2400    0.2399   0.00240     133.0
  1924    0.2278    0.2267   0.00200     178.3
  2405    0.2158    0.2161   0.00155     222.1
  2886    0.2091    0.2118   0.00110     265.7
  3367    0.2049    0.2034   0.00070     310.5
  3848    0.1956    0.1961   0.00038     355.4
  4329    0.1938    0.1917   0.00017     401.0
  4810    0.1878    0.1906   0.00010     447.2
  4815    0.1923    0.1874   0.00010     448.6
