=== b120m_p206k ===
budget_minutes  : 120
n_layer,n_embd  : 4, 64
n_params        : 206,400
max_iters       : 2374
flops_per_step  : 5,072,486,400
tokens_seen     : 9,723,904
started_at      : 2026-04-16 21:37:40

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.3755    3.3734   0.00300       0.9
   237    1.6422    1.6310   0.00293      23.4
   474    0.6861    0.6902   0.00272      45.0
   711    0.3408    0.3421   0.00240      67.0
   948    0.2747    0.2822   0.00200      88.3
  1185    0.2581    0.2541   0.00155     109.7
  1422    0.2392    0.2361   0.00111     131.3
  1659    0.2179    0.2228   0.00070     154.3
  1896    0.2147    0.2196   0.00038     174.2
  2133    0.2127    0.2106   0.00017     196.3
  2370    0.2041    0.2057   0.00010     218.4
  2373    0.2048    0.2060   0.00010     219.3
