=== b30m_p206k ===
budget_minutes  : 30
n_layer,n_embd  : 4, 64
n_params        : 206,400
max_iters       : 543
flops_per_step  : 5,072,486,400
tokens_seen     : 2,224,128
started_at      : 2026-04-16 21:36:14

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.4116    3.4109   0.00300       1.0
    54    2.2491    2.2454   0.00293       7.1
   108    1.9277    1.9342   0.00273      13.1
   162    1.7912    1.7983   0.00241      18.9
   216    1.6218    1.6222   0.00200      24.9
   270    1.4783    1.4889   0.00156      31.0
   324    1.2946    1.2749   0.00111      36.3
   378    1.1125    1.1390   0.00071      42.2
   432    1.0110    1.0136   0.00038      48.2
   486    0.9578    0.9550   0.00018      54.0
   540    0.9434    0.9377   0.00010      59.3
   542    0.9401    0.9420   0.00010      60.3
