=== b120m_p106k ===
budget_minutes  : 120
n_layer,n_embd  : 2, 64
n_params        : 106,432
max_iters       : 4667
flops_per_step  : 2,615,672,832
tokens_seen     : 19,116,032
started_at      : 2026-04-16 21:37:39

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.3933    3.3916   0.00300       0.4
   466    0.4579    0.4670   0.00293      22.9
   932    0.2942    0.2924   0.00272      44.7
  1398    0.2585    0.2644   0.00240      65.9
  1864    0.2411    0.2402   0.00200      89.4
  2330    0.2248    0.2272   0.00155     111.2
  2796    0.2165    0.2233   0.00111     134.0
  3262    0.2067    0.2135   0.00070     155.1
  3728    0.2048    0.2043   0.00038     176.5
  4194    0.1961    0.1996   0.00017     199.3
  4660    0.1948    0.1962   0.00010     222.3
  4666    0.1977    0.1969   0.00010     223.1
