=== b120m_p306k ===
budget_minutes  : 120
n_layer,n_embd  : 6, 64
n_params        : 306,368
max_iters       : 1578
flops_per_step  : 7,529,299,968
tokens_seen     : 6,463,488
started_at      : 2026-04-16 21:38:37

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.3959    3.3970   0.00300       1.2
   157    1.8129    1.8192   0.00293      25.5
   314    1.0982    1.1343   0.00273      50.0
   471    0.4558    0.4718   0.00241      72.5
   628    0.3241    0.3191   0.00201      95.8
   785    0.2743    0.2784   0.00156     119.1
   942    0.2562    0.2521   0.00111     140.9
  1099    0.2344    0.2374   0.00071     163.1
  1256    0.2261    0.2234   0.00039     186.1
  1413    0.2126    0.2153   0.00018     207.8
  1570    0.2143    0.2135   0.00010     230.9
  1577    0.2127    0.2109   0.00010     233.4
