=== b240m_p106k ===
budget_minutes  : 240
n_layer,n_embd  : 2, 64
n_params        : 106,432
max_iters       : 9402
flops_per_step  : 2,615,672,832
tokens_seen     : 38,510,592
started_at      : 2026-04-16 21:42:53

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.3960    3.3952   0.00300       0.4
   940    0.2937    0.2920   0.00293      46.5
  1880    0.2437    0.2475   0.00272      91.9
  2820    0.2277    0.2344   0.00240     138.8
  3760    0.2199    0.2172   0.00200     183.1
  4700    0.2086    0.2122   0.00155     227.7
  5640    0.2097    0.2078   0.00110     274.4
  6580    0.1988    0.1985   0.00070     319.1
  7520    0.1937    0.1931   0.00038     367.7
  8460    0.1901    0.1923   0.00017     414.1
  9400    0.1885    0.1929   0.00010     458.3
  9401    0.1892    0.1876   0.00010     458.7
