=== b120m_p61k ===
budget_minutes  : 120
n_layer,n_embd  : 2, 48
n_params        : 61,392
max_iters       : 8141
flops_per_step  : 1,508,769,792
tokens_seen     : 33,345,536
started_at      : 2026-04-16 21:37:21

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.4318    3.4299   0.00300       0.5
   814    0.3931    0.3853   0.00293      34.9
  1628    0.2939    0.2882   0.00272      68.9
  2442    0.2619    0.2661   0.00240     101.6
  3256    0.2408    0.2438   0.00200     135.1
  4070    0.2289    0.2352   0.00155     167.7
  4884    0.2247    0.2231   0.00110     198.9
  5698    0.2144    0.2144   0.00070     232.3
  6512    0.2051    0.2073   0.00038     268.4
  7326    0.2021    0.2010   0.00017     303.0
  8140    0.1979    0.2053   0.00010     335.2
