=== b30m_p15k ===
budget_minutes  : 30
n_layer,n_embd  : 1, 32
n_params        : 15,936
max_iters       : 7838
flops_per_step  : 391,643,136
tokens_seen     : 32,104,448
started_at      : 2026-04-16 21:36:14

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.4509    3.4509   0.00300       0.3
   783    0.8496    0.8751   0.00293      14.9
  1566    0.6385    0.6600   0.00272      29.8
  2349    0.5656    0.5694   0.00240      43.9
  3132    0.5066    0.5082   0.00200      57.6
  3915    0.4750    0.4832   0.00155      71.6
  4698    0.4492    0.4418   0.00110      85.5
  5481    0.4135    0.4213   0.00070     100.3
  6264    0.4072    0.4155   0.00038     114.7
  7047    0.3945    0.3896   0.00017     129.0
  7830    0.3936    0.3937   0.00010     143.0
  7837    0.3942    0.3963   0.00010     143.2
