=== b30m_p306k ===
budget_minutes  : 30
n_layer,n_embd  : 6, 64
n_params        : 306,368
max_iters       : 344
flops_per_step  : 7,529,299,968
tokens_seen     : 1,409,024
started_at      : 2026-04-16 21:36:14

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.4180    3.4166   0.00300       1.5
    34    2.6037    2.6012   0.00293       8.2
    68    2.1480    2.1414   0.00273      14.6
   102    1.9471    1.9686   0.00241      21.4
   136    1.8391    1.8495   0.00201      28.0
   170    1.6915    1.6842   0.00157      34.3
   204    1.5985    1.5938   0.00112      40.0
   238    1.5193    1.4971   0.00072      45.9
   272    1.4305    1.4340   0.00040      52.2
   306    1.3781    1.3712   0.00018      58.2
   340    1.3443    1.3551   0.00010      64.3
   343    1.3618    1.3455   0.00010      66.3
