=== b30m_p106k ===
budget_minutes  : 30
n_layer,n_embd  : 2, 64
n_params        : 106,432
max_iters       : 1116
flops_per_step  : 2,615,672,832
tokens_seen     : 4,571,136
started_at      : 2026-04-16 21:36:14

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.3641    3.3646   0.00300       0.6
   111    1.8556    1.8520   0.00293       6.8
   222    1.4164    1.4159   0.00273      12.9
   333    0.8993    0.8759   0.00241      18.7
   444    0.5778    0.5676   0.00201      24.4
   555    0.4208    0.4126   0.00156      30.4
   666    0.3465    0.3531   0.00111      35.9
   777    0.3118    0.3017   0.00071      41.7
   888    0.2861    0.2901   0.00039      47.3
   999    0.2740    0.2776   0.00018      52.6
  1110    0.2714    0.2689   0.00010      58.0
  1115    0.2700    0.2713   0.00010      58.5
