=== b240m_p61k ===
budget_minutes  : 240
n_layer,n_embd  : 2, 48
n_params        : 61,392
max_iters       : 16349
flops_per_step  : 1,508,769,792
tokens_seen     : 66,965,504
started_at      : 2026-04-16 21:42:31

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.4311    3.4309   0.00300       0.4
  1634    0.2935    0.2876   0.00293      70.7
  3268    0.2511    0.2560   0.00272     140.5
  4902    0.2390    0.2387   0.00240     206.9
  6536    0.2297    0.2270   0.00200     272.9
  8170    0.2180    0.2174   0.00155     342.0
  9804    0.2061    0.2090   0.00110     410.7
 11438    0.2065    0.2030   0.00070     476.2
 13072    0.1963    0.1977   0.00038     528.7
 14706    0.1954    0.1940   0.00017     579.5
 16340    0.1906    0.1930   0.00010     631.9
 16348    0.1937    0.1918   0.00010     632.4
