=== b30m_p33k ===
budget_minutes  : 30
n_layer,n_embd  : 1, 48
n_params        : 33,120
max_iters       : 3736
flops_per_step  : 813,957,120
tokens_seen     : 15,302,656
started_at      : 2026-04-16 21:36:14

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.3753    3.3737   0.00300       0.3
   373    0.9778    1.0011   0.00293       8.8
   746    0.5948    0.5842   0.00272      17.2
  1119    0.4668    0.4745   0.00240      25.5
  1492    0.4035    0.4042   0.00200      34.2
  1865    0.3729    0.3717   0.00155      42.4
  2238    0.3474    0.3445   0.00111      50.5
  2611    0.3275    0.3252   0.00070      58.8
  2984    0.3125    0.3213   0.00038      67.3
  3357    0.3077    0.3041   0.00017      75.8
  3730    0.3063    0.3014   0.00010      84.4
  3735    0.2984    0.3026   0.00010      84.8
