=== b240m_p33k ===
budget_minutes  : 240
n_layer,n_embd  : 1, 48
n_params        : 33,120
max_iters       : 30362
flops_per_step  : 813,957,120
tokens_seen     : 124,362,752
started_at      : 2026-04-16 21:41:22

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.4235    3.4249   0.00300       0.3
  3036    0.3509    0.3514   0.00293      66.8
  6072    0.2955    0.2986   0.00272     133.4
  9108    0.2860    0.2942   0.00240     198.7
 12144    0.2695    0.2674   0.00200     265.6
 15180    0.2562    0.2644   0.00155     332.9
 18216    0.2465    0.2497   0.00110     403.9
 21252    0.2377    0.2404   0.00070     469.9
 24288    0.2290    0.2327   0.00038     538.7
 27324    0.2224    0.2234   0.00017     605.3
 30360    0.2209    0.2222   0.00010     671.7
 30361    0.2229    0.2214   0.00010     671.8
