=== b240m_p306k ===
budget_minutes  : 240
n_layer,n_embd  : 6, 64
n_params        : 306,368
max_iters       : 3222
flops_per_step  : 7,529,299,968
tokens_seen     : 13,197,312
started_at      : 2026-04-16 21:46:52

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.4116    3.4129   0.00300       1.5
   322    1.3310    1.3260   0.00293      49.0
   644    0.3711    0.3750   0.00272      95.0
   966    0.2752    0.2723   0.00240     142.5
  1288    0.2443    0.2491   0.00200     186.9
  1610    0.2269    0.2290   0.00155     228.2
  1932    0.2213    0.2189   0.00110     264.6
  2254    0.2094    0.2106   0.00070     307.6
  2576    0.2031    0.2040   0.00038     349.5
  2898    0.1940    0.1978   0.00017     386.6
  3220    0.1952    0.1960   0.00010     417.2
  3221    0.1965    0.1966   0.00010     418.1
