=== b240m_p15k ===
budget_minutes  : 240
n_layer,n_embd  : 1, 32
n_params        : 15,936
max_iters       : 63174
flops_per_step  : 391,643,136
tokens_seen     : 258,760,704
started_at      : 2026-04-16 21:41:20

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.4948    3.4946   0.00300       0.2
  6317    0.4646    0.4603   0.00293     118.5
 12634    0.3904    0.3962   0.00272     234.4
 18951    0.3668    0.3749   0.00240     351.0
 25268    0.3535    0.3580   0.00200     464.4
 31585    0.3482    0.3383   0.00155     578.2
 37902    0.3164    0.3191   0.00110     672.8
 44219    0.3103    0.3123   0.00070     767.3
 50536    0.3030    0.3045   0.00038     846.0
 56853    0.2957    0.2978   0.00017     925.3
 63170    0.2988    0.2951   0.00010    1004.2
 63173    0.2864    0.2959   0.00010    1004.3
