=== b120m_p15k ===
budget_minutes  : 120
n_layer,n_embd  : 1, 32
n_params        : 15,936
max_iters       : 31553
flops_per_step  : 391,643,136
tokens_seen     : 129,241,088
started_at      : 2026-04-16 21:37:13

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.4592    3.4578   0.00300       0.2
  3155    0.5201    0.5399   0.00293      57.5
  6310    0.4446    0.4432   0.00272     115.2
  9465    0.3919    0.4146   0.00240     172.9
 12620    0.3809    0.3851   0.00200     230.2
 15775    0.3711    0.3705   0.00155     288.6
 18930    0.3475    0.3479   0.00110     345.6
 22085    0.3369    0.3274   0.00070     404.7
 25240    0.3229    0.3217   0.00038     462.0
 28395    0.3087    0.3079   0.00017     522.2
 31550    0.3114    0.3117   0.00010     578.5
 31552    0.3068    0.3062   0.00010     578.7
